,hobby,wiki_title,wiki_url,wiki_summary,wiki_categories,hobby_en,hobby_ru,hobby_vector,image_url
359,orienteering,Orienteering,https://en.wikipedia.org/wiki/Orienteering,"Orienteering is a group of sports that require navigational skills using a map and compass to navigate from point to point in diverse and usually unfamiliar terrain whilst moving at speed. Participants are given a topographical map, usually a specially prepared orienteering map, which they use to find control points. Originally a training exercise in land navigation for military officers, orienteering has developed many variations. Among these, the oldest and the most popular is foot orienteering.  For the purposes of this article, foot orienteering serves as a point of departure for discussion of all other variations, but almost any sport that involves racing against a clock and requires navigation with a map is a type of orienteering.
Orienteering is included in the programs of world sporting events including the World Games (see Orienteering at the World Games) and World Police and Fire Games.

","All articles containing potentially dated statements,Articles containing potentially dated statements from 2019,Articles with short description,Backpacking,CS1 Swedish-language sources (sv),Commons category link is on Wikidata,Hiking,Individual sports,Navigation,Orienteering,Outdoor locating games,Outdoor recreation,Racing,Short description matches Wikidata,Walking,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NDL identifiers,Wikipedia articles with NKC identifiers",Orienteering,Спортивное ориентирование,"0.049,0.0238,0.0219,0.0322,0.0219,0.0238,0.0696,0.0556,0.0294,0.0303,0.1097,0.0845,0.0453,0.0397,0.0331,0.0219,0.1807,0.0714,0.0313,0.0247",https://images.pexels.com/photos/4185875/pexels-photo-4185875.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
360,economy,Economy,https://en.wikipedia.org/wiki/Economy,"An economy (from Greek οίκος – ""household"" and νέμoμαι – ""manage"") is an area of the production, distribution and trade, as well as consumption of goods and services by different agents. In general, it is defined  'as a social domain that emphasize the practices, discourses, and material expressions associated with the production, use, and management of resources'. A given economy is the result of a set of processes that involves its culture, values, education, technological evolution, history, social organization, political structure and legal systems, as well as its geography, natural resource endowment, and ecology, as main factors. These factors give context, content, and set the conditions and parameters in which an economy functions. In other words, the economic domain is a social domain of interrelated human practices and transactions that does not stand alone.
Economic agents can be individuals, businesses, organizations, or governments. Economic transactions occur when two groups or parties agree to the value or price of the transacted good or service, commonly expressed in a certain currency. However, monetary transactions only account for a small part of the economic domain.
Economic activity is spurred by production which uses natural resources, labor and capital. It has changed over time due to technology, innovation (new products, services, processes, expanding markets, diversification of markets, niche markets, increases revenue functions) such as, that which produces intellectual property and changes in industrial relations (most notably child labor being replaced in some parts of the world with universal access to education).
A market-based economy is one where goods and services are produced and exchanged according to demand and supply between participants (economic agents) by barter or a medium of exchange with a credit or debit value accepted within the network, such as a unit of currency. A command-based economy is one where political agents directly control what is produced and how it is sold and distributed. A green economy is low-carbon, resource efficient and socially inclusive. In a green economy, growth in income and employment is driven by public and private investments that reduce carbon emissions and pollution, enhance energy and resource efficiency, and prevent the loss of biodiversity and ecosystem services. A gig economy is one in which short-term jobs are assigned or chosen via online platforms. New economy is a term that referred to the whole emerging ecosystem where new standards and practices were introduced, usually as a result of technological innovations. The global economy refers to humanity's economic system or systems overall.","All articles with specifically marked weasel-worded phrases,All articles with unsourced statements,Articles containing Ancient Greek (to 1453)-language text,Articles with long short description,Articles with short description,Articles with specifically marked weasel-worded phrases from January 2021,Articles with unsourced statements from January 2021,Articles with unsourced statements from October 2008,CS1 maint: archived copy as title,Commons category link is on Wikidata,Economy,Main topic articles,Short description matches Wikidata,Use mdy dates from August 2016,Webarchive template wayback links,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NDL identifiers,Wikipedia indefinitely semi-protected pages",Economy,Экономика,"0.1092,0.3495,0.0394,0.0506,0.02,0.0235,0.0131,0.0497,0.0123,0.0192,0.0144,0.0136,0.0265,0.0394,0.0192,0.0213,0.0825,0.0114,0.0489,0.0364",https://images.pexels.com/photos/4386476/pexels-photo-4386476.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
361,hypnosis,Hypnosis,https://en.wikipedia.org/wiki/Hypnotic,"Hypnotic (from Greek Hypnos, sleep), or soporific drugs, commonly known as sleeping pills, are a class of psychoactive drugs whose primary function is to induce sleep and for the treatment of insomnia (sleeplessness), or for surgical anesthesia.This group is related to sedatives. Whereas the term sedative describes drugs that serve to calm or relieve anxiety, the term hypnotic generally describes drugs whose main purpose is to initiate, sustain, or lengthen sleep. Because these two functions frequently overlap, and because drugs in this class generally produce dose-dependent effects (ranging from anxiolysis to loss of consciousness) they are often referred to collectively as sedative-hypnotic drugs.Hypnotic drugs are regularly prescribed for insomnia and other sleep disorders, with over 95% of insomnia patients being prescribed hypnotics in some countries. Many hypnotic drugs are habit-forming and, due to many factors known to disturb the human sleep pattern, a physician may instead recommend changes in the environment before and during sleep, better sleep hygiene, the avoidance of caffeine or other stimulating substances, or behavioral interventions such as cognitive behavioral therapy for insomnia (CBT-I) before prescribing medication for sleep. When prescribed, hypnotic medication should be used for the shortest period of time necessary.Among individuals with sleep disorders, 13.7% are taking or prescribed nonbenzodiazepines, while 10.8% are taking benzodiazepines, as of 2010, in the USA. Early classes of drugs, such as barbiturates, have fallen out of use in most practices but are still prescribed for some patients. In children, prescribing hypnotics is not yet acceptable unless used to treat night terrors or sleepwalking. Elderly people are more sensitive to potential side effects of daytime fatigue and cognitive impairments, and a meta-analysis found that the risks generally outweigh any marginal benefits of hypnotics in the elderly. A review of the literature regarding benzodiazepine hypnotics and Z-drugs concluded that these drugs can have adverse effects, such as dependence and accidents, and that optimal treatment uses the lowest effective dose for the shortest therapeutic time period, with gradual discontinuation in order to improve health without worsening of sleep.Falling outside the above-mentioned categories, the neuro-hormone melatonin has a hypnotic function.","All articles needing additional references,All articles with failed verification,All articles with unsourced statements,All pages needing factual verification,Articles needing additional medical references from May 2016,Articles requiring reliable medical sources,Articles with failed verification from February 2014,Articles with unsourced statements from February 2014,CS1: long volume value,Hypnotics,Psychoactive drugs,Treatment of sleep disorders,Wikipedia articles needing factual verification from September 2019,Wikipedia articles needing page number citations from February 2014,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NDL identifiers,Wikipedia articles with multiple identifiers",Hypnosis,Гипноз,"0.1491,0.0229,0.0309,0.0354,0.0234,0.0138,0.0143,0.1099,0.0118,0.0204,0.0163,0.0153,0.3451,0.045,0.0158,0.0229,0.0329,0.0153,0.0354,0.0239",https://images.pexels.com/photos/5028425/pexels-photo-5028425.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
362,sleeping,Sleep,https://en.wikipedia.org/wiki/Sleep,"Sleep is a naturally recurring state of mind and body, characterized by altered consciousness, relatively inhibited sensory activity, reduced muscle activity and inhibition of nearly all voluntary muscles during rapid eye movement (REM) sleep, and reduced interactions with surroundings. It is distinguished from wakefulness by a decreased ability to react to stimuli, but more reactive than a coma or disorders of consciousness, with sleep displaying different, active brain patterns.
Sleep occurs in repeating periods, in which the body alternates between two distinct modes: REM sleep and non-REM sleep. Although REM stands for ""rapid eye movement"", this mode of sleep has many other aspects, including virtual paralysis of the body. A well-known feature of sleep is the dream, an experience typically recounted in narrative form, which resembles waking life while in progress, but which usually can later be distinguished as fantasy. During sleep, most of the body's systems are in an anabolic state, helping to restore the immune, nervous, skeletal, and muscular systems; these are vital processes that maintain mood, memory, and cognitive function, and play a large role in the function of the endocrine and immune systems. The internal circadian clock promotes sleep daily at night. The diverse purposes and mechanisms of sleep are the subject of substantial ongoing research. Sleep is a highly conserved behavior across animal evolution.Humans may suffer from various sleep disorders, including dyssomnias such as insomnia, hypersomnia, narcolepsy, and sleep apnea; parasomnias such as sleepwalking and rapid eye movement sleep behavior disorder; bruxism; and circadian rhythm sleep disorders. The use of artificial light has substantially altered humanity's sleep patterns.","All articles with unsourced statements,Articles with long short description,Articles with short description,Articles with unsourced statements from March 2021,CS1: Julian–Gregorian uncertainty,Commons category link is on Wikidata,Mental states,Pages using div col with small parameter,Short description is different from Wikidata,Sleep,Unsolved problems in neuroscience,Use dmy dates from May 2015,Webarchive template wayback links,Wikipedia articles needing clarification from August 2017,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NDL identifiers,Wikipedia indefinitely semi-protected pages",Sleeping,Сон,"0.257,0.0288,0.0645,0.1762,0.014,0.0241,0.0253,0.052,0.0211,0.014,0.0663,0.0377,0.0152,0.0401,0.0306,0.0253,0.0371,0.0181,0.0211,0.0318",https://images.pexels.com/photos/989088/pexels-photo-989088.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
363,embroidery,Embroidery,https://en.wikipedia.org/wiki/Embroidery,"Embroidery is the craft of decorating fabric or other materials using a needle to apply thread or yarn. Embroidery may also incorporate other materials such as pearls, beads, quills, and sequins. In modern days, embroidery is usually seen on caps, hats, coats, blankets, dress shirts, denim, dresses, stockings, and golf shirts. Embroidery is available with a wide variety of thread or yarn colour.

Some of the basic techniques or stitches of the earliest embroidery are chain stitch, buttonhole or blanket stitch, running stitch, satin stitch, cross stitch. Those stitches remain the fundamental techniques of hand embroidery today.

","Articles with short description,Commons category link is on Wikidata,Decorative arts,Dynamic lists,Embroidery,Short description matches Wikidata,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NDL identifiers,Wikipedia articles with SUDOC identifiers,Wikipedia articles with multiple identifiers",Embroidery,Вышивка,"0.0248,0.0303,0.0292,0.0248,0.0578,0.0457,0.0281,0.038,0.0248,0.0248,0.0248,0.0391,0.0369,0.0248,0.3922,0.0248,0.0435,0.027,0.0303,0.0292",https://images.pexels.com/photos/3771080/pexels-photo-3771080.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
364,digital fashion,Digital fashion,https://en.wikipedia.org/wiki/Digital_fashion,"Digital Fashion is the visual representation of clothing built using computer technologies and 3D software. 
Digital fashion is also the interplay between digital technology and couture. Information and Communication Technologies (ICTs) have been deeply integrated both into the fashion industry, as well as within the experience of clients and prospects. Such interplay has happened at three main levels.

ICTs are used to design and produce fashion products, while also the industry organization leverages onto digital technologies
ICTs impact marketing, distribution and sales
ICTs are extensively used in communication activities with all relevant stakeholders, and contribute to co-create the fashion worldSince the beginning of the 2020 pandemic, the fashion industry has suffered strong economic losses, as sales plummeted and jobs were lost, but it has since learned to digitally recover through virtual clothing, catwalks, and showrooms.","CS1 Spanish-language sources (es),Digital art,Fashion",Digital fashion,Виртуальная мода,"0.0755,0.356,0.0375,0.0542,0.0366,0.0227,0.0255,0.0245,0.0255,0.0255,0.0486,0.0319,0.0245,0.031,0.0218,0.0384,0.0236,0.0218,0.0532,0.0218",https://images.pexels.com/photos/3799830/pexels-photo-3799830.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
365,netball,Netball,https://en.wikipedia.org/wiki/Netball,"Netball is a ball sport played by two teams of seven players. Netball is most popular in many Commonwealth nations and according to the INF, netball is played by more than 20 million people in more than 80 countries. Major domestic leagues in the sport include the Netball Superleague in Great Britain, Suncorp Super Netball in Australia and the ANZ Premiership in New Zealand. Four major competitions take place internationally: the quadrennial World Netball Championships, the Commonwealth Games, and the yearly Quad Series and Fast5 Series. In 1995, netball became an International Olympic Committee recognised sport, but it has not been played at the Olympics.
Games are played on a rectangular court with raised goal rings at each end. Each team attempts to score goals by passing a ball down the court and shooting it through its goal ring. Players are assigned specific positions, which define their roles within the team and restrict their movement to certain areas of the court. During general play, a player with the ball can hold on to it for only three seconds before shooting for a goal or passing to another player. The winning team is the one that scores the most goals. Netball games are 60 minutes long. Variations have been developed to increase the game's pace and appeal to a wider audience.
Its development, derived from early versions of basketball, began in England in the 1890s. By 1960, international playing rules had been standardised for the game, and the International Federation of Netball and Women's Basketball (later renamed the International Netball Federation (INF)) was formed. As of 2019, the INF comprises more than 70 national teams organized into five global regions.","Articles containing video clips,Articles with short description,Ball games,CS1: Julian–Gregorian uncertainty,Commons category link is on Wikidata,Forms of basketball,Good articles,Netball,Short description is different from Wikidata,Sports originating in England,Team sports,Use British English from March 2011,Use dmy dates from November 2020,Wikipedia articles with AWR identifiers,Wikipedia pages semi-protected from banned users",Netball,Нетбол,"0.0234,0.0306,0.0202,0.0218,0.0226,0.0298,0.0425,0.0401,0.0218,0.0417,0.0306,0.0187,0.0337,0.0337,0.0345,0.0218,0.0266,0.4075,0.0718,0.0266",https://unsplash.com/photos/oeGMaLjUOxQ/download
366,sporting dog field trials,Field trial,https://en.wikipedia.org/wiki/Field_trial,"A field trial is a competitive event at which dogs compete against one another for placements. There are field trials for retrievers, pointing dogs and flushing dogs. Field trials are usually organized by kennel clubs or other gun dog organizations.  Field trials are generally considered more competitive than hunt tests in that success at a field trial requires a higher level of training than simply qualifying to the standard that a hunt test requires. For example, in Retriever Field Trials, dogs retrieve over longer distances with a more complex path than a Retriever Hunt Test would generally provide. Field trial dogs are trained to a much higher degree of training in order to be competitive in the sport. Their purpose is also different, as they compete for 1st-4th, Reserve Judges' Award of Merit and Judges' Award of Merit, while hunting tests are judged on whether the standard is met or not.
The term is confusing as it means different things to different breed organizations.  With sporting dogs field trials demand that dogs compete against one another for placements. In most hunt tests, on the other hand, dogs are evaluated against a written standard and all of the dogs in the hunt test may qualify if they meet the standard.  To further complicate the issue, various kennel organizations have differing definitions of field trial.
Field trials come in various grades including Open, Limited Open, Amateur, Qualifying, Owner-Handler Qualifying and Derby, Sanctioned and non-sanctioned.  An Open field trial permits entry from any handler or trainer while a Limited Open only quaified dogs can compete. An Amateur trial only permits non-professional handlers/trainers and a Derby trial is for dogs under two years of age. Sanctioned trials are ones that are held under the control of a national kennel club or organization, while the non-sanctioned can be organized by a local club.

","All articles needing additional references,All articles with unsourced statements,Articles needing additional references from August 2007,Articles with unsourced statements from January 2018,Commons link is the pagename,Dog sports,Hunting",Sporting dog field trials,Спортивные испытания на поле для собак,"0.0165,0.0147,0.0165,0.0502,0.0222,0.014,0.0446,0.0222,0.0178,0.4235,0.0446,0.0153,0.0153,0.0696,0.0253,0.0502,0.0222,0.0746,0.0159,0.0247",https://images.pexels.com/photos/7210579/pexels-photo-7210579.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
367,roller skating,Roller skating,https://en.wikipedia.org/wiki/Roller_skating,"Roller skating is traveling on surfaces with roller skates. It is a recreational activity, a sport, and a form of transportation. Roller rinks and skate parks are built for roller skating, though it also takes place on streets, sidewalks, and bike paths.
Roller skating originated in the performing arts in the 18th century. It gained widespread popularity starting in the 1880s. Roller skating was very popular in United States from the 1930s to 1950s, then again in the 1970s when it was associated with disco music and roller discos. During the 1990s, inline outdoor roller skating became popular. Roller skating has often been a part of Black and LGBT history in particular.
Sport roller skating includes speed skating, roller hockey, roller derby, figure skating and aggressive quad skating.

","All articles that may contain original research,Articles that may contain original research from June 2008,Articles with short description,CS1 maint: archived copy as title,CS1 maint: multiple names: authors list,Commons link is on Wikidata,Roller skating,Roller sports,Short description matches Wikidata,Skating,Use dmy dates from October 2019,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NARA identifiers,Wikipedia articles with NDL identifiers",Roller skating,Катание на роликах,"0.0297,0.0284,0.1648,0.0284,0.041,0.0764,0.0284,0.0688,0.0827,0.0347,0.0587,0.0385,0.0398,0.041,0.0347,0.041,0.041,0.06,0.0297,0.0322",https://images.pexels.com/photos/7335069/pexels-photo-7335069.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
368,horse riding,Equestrianism,https://en.wikipedia.org/wiki/Equestrianism,"Equestrianism (from Latin equester, equestr-, equus, 'horseman', 'horse'), commonly known as horse riding (British English) or horseback riding (American English), includes the disciplines of riding, driving, and vaulting. This broad description includes the use of horses for practical working purposes, transportation, recreational activities, artistic or cultural exercises, and competitive sport.","All articles with unsourced statements,Articles containing Latin-language text,Articles with short description,Articles with unsourced statements from September 2018,CS1 French-language sources (fr),Commons category link is locally defined,Commons category link is on Wikidata,Equestrian sports,Equestrianism,Individual sports,Short description is different from Wikidata,Summer Olympic sports,Uses of boots,Webarchive template wayback links,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NDL identifiers,Wikipedia pending changes protected pages",Horse riding,Верховая езда,"0.0321,0.0335,0.0363,0.0491,0.0321,0.0463,0.0335,0.0605,0.0392,0.0321,0.2058,0.0377,0.0648,0.042,0.0449,0.0591,0.0321,0.0463,0.0406,0.0321",https://images.pexels.com/photos/1461441/pexels-photo-1461441.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
369,jurisprudence,Jurisprudence,https://en.wikipedia.org/wiki/Jurisprudence,"Jurisprudence, or legal theory, is the theoretical study of law. Scholars of jurisprudence seek to explain the nature of law in its most general form and provide a deeper understanding of legal reasoning and analogy, legal systems, legal institutions, and the role of law in society.Modern jurisprudence began in the 18th century and was focused on the first principles of natural law, civil law, and the law of nations. General jurisprudence can be divided into categories both by the type of question scholars seek to answer and by the theories of jurisprudence, or schools of thought, regarding how those questions are best answered. Contemporary philosophy of law, which deals with general jurisprudence, addresses problems internal to law and legal systems and problems of law as a social institution that relates to the larger political and social context in which it exists.This article addresses three distinct branches of thought in general jurisprudence. Ancient natural law is the idea that there are rational objective limits to the power of legislative rulers. The foundations of law are accessible through reason, and it is from these laws of nature that human laws gain whatever force they have. Analytic jurisprudence (Clarificatory jurisprudence) rejects natural law's fusing of what law is and what it ought to be. It espouses the use of a neutral point of view and descriptive language when referring to aspects of legal systems. It encompasses such theories of jurisprudence as ""legal positivism"", which holds that there is no necessary connection between law and morality and that the force of law comes from basic social facts; and ""legal realism"", which argues that the real-world practice of law determines what law is, the law having the force that it does because of what legislators, lawyers, and judges do with it. Normative jurisprudence is concerned with ""evaluative"" theories of law. It deals with what the goal or purpose of law is, or what moral or political theories provide a foundation for the law. It not only addresses the question ""What is law?"", but also tries to determine what the proper function of law should be, or what sorts of acts should be subject to legal sanctions, and what sorts of punishment should be permitted.","Academic disciplines,All articles needing additional references,All articles that may contain original research,Articles needing additional references from June 2018,Articles that may contain original research from June 2018,Articles with multiple maintenance issues,Articles with short description,CS1 maint: others,Jurisprudence,Law,Legal ethics,Philosophy of law,Roman law,Short description is different from Wikidata,Social philosophy,Social sciences,Use dmy dates from July 2020,Webarchive template wayback links,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NDL identifiers",Jurisprudence,Юриспруденция,"0.4892,0.0125,0.0136,0.1098,0.0438,0.0356,0.0392,0.0187,0.0131,0.0428,0.0177,0.0146,0.0197,0.0131,0.0166,0.0141,0.0207,0.0172,0.0305,0.0177",https://images.pexels.com/photos/5668789/pexels-photo-5668789.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
370,canoeing,Canoeing,https://en.wikipedia.org/wiki/Canoeing,"Canoeing is an activity which involves paddling a canoe with a single-bladed paddle. Common meanings of the term are limited to when the canoeing is the central purpose of the activity. Broader meanings include when it is combined with other activities such as canoe camping, or where canoeing is merely a transportation method used to accomplish other activities. Most present-day canoeing is done as or as a part of a sport or recreational activity. In some parts of Europe canoeing refers to both canoeing and kayaking, with a canoe being called an open canoe.
A few of the recreational forms of canoeing are canoe camping and canoe racing.  Other forms include a wide range of canoeing on lakes, rivers, oceans, ponds and streams.

","Articles with short description,Canoeing,Canoeing and kayaking,Commons category link is on Wikidata,Short description is different from Wikidata,Summer Olympic sports,Use dmy dates from May 2021,Wikipedia articles with NARA identifiers",Canoeing,Каноэ,"0.0318,0.0243,0.0351,0.0264,0.0415,0.0566,0.0351,0.0458,0.034,0.0415,0.3328,0.0297,0.0286,0.0329,0.0351,0.0318,0.0426,0.0254,0.0448,0.0243",https://images.pexels.com/photos/2916819/pexels-photo-2916819.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
371,volunteering,Volunteering,https://en.wikipedia.org/wiki/Volunteering,"Volunteering is a voluntary act of an individual or group freely giving time and labour for community service. Many volunteers are specifically trained in the areas they work, such as medicine, education, or emergency rescue. Others serve on an as-needed basis, such as in response to a natural disaster. Nowadays, one common type of volunteer is volunteer tourism.","All articles with dead external links,All articles with failed verification,Articles with Curlie links,Articles with dead external links from May 2019,Articles with failed verification from July 2014,Articles with permanently dead external links,Articles with short description,CS1 German-language sources (de),CS1 Russian-language sources (ru),CS1 maint: archived copy as title,Commons category link from Wikidata,Short description matches Wikidata,Use dmy dates from August 2019,Volunteering,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with LNB identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NDL identifiers,Wikipedia articles with multiple identifiers,Work",Volunteering,Волонтерство,"0.1271,0.0438,0.0313,0.0438,0.041,0.0313,0.0465,0.0465,0.0354,0.0424,0.0396,0.034,0.041,0.0854,0.0438,0.0313,0.1076,0.0313,0.0618,0.0354",https://images.pexels.com/photos/6646918/pexels-photo-6646918.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
372,railfans,Railfan,https://en.wikipedia.org/wiki/Railfan,"A railfan, rail buff or train buff (American English); railway enthusiast or  railway buff (Australian/British English); trainspotter or ferroequinologist, is a person interested, recreationally, in rail transport.Railfans of many ages can be found worldwide. They often combine their interest with other hobbies, especially photography and videography, radio scanning, railway modelling, studying railroad history and participating in railway station and rolling stock preservation efforts. Many magazines are dedicated to railfanning, including Trains and Railfan & Railroad.","All articles with specifically marked weasel-worded phrases,All articles with unsourced statements,Articles with Curlie links,Articles with short description,Articles with specifically marked weasel-worded phrases from December 2014,Articles with specifically marked weasel-worded phrases from December 2020,Articles with unsourced statements from December 2013,Articles with unsourced statements from December 2014,Articles with unsourced statements from February 2012,Articles with unsourced statements from May 2015,CS1 Spanish-language sources (es),CS1 errors: missing title,CS1 maint: postscript,Commons category link is on Wikidata,Fandom,Observation hobbies,Rail transport hobbies,Short description matches Wikidata,Wikipedia articles needing clarification from May 2015,Wikipedia articles needing page number citations from March 2016",Railfans,Железнодорожные хобби,"0.0377,0.0522,0.0311,0.1025,0.0628,0.0337,0.0456,0.0522,0.0364,0.0642,0.0575,0.0589,0.0417,0.0443,0.0324,0.0509,0.0337,0.0443,0.088,0.0298",https://unsplash.com/photos/wArEcN272vA/download
373,film director,Film director,https://en.wikipedia.org/wiki/Film_director,"A film director controls a film's artistic and dramatic aspects and visualizes the screenplay (or script) while guiding the film crew and actors in the fulfilment of that vision. The director has a key role in choosing the cast members, production design and all the creative aspects of filmmaking. Under European Union law, the director is viewed as the author of the film.The film director gives direction to the cast and crew and creates an overall vision through which a film eventually becomes realized or noticed. Directors need to be able to mediate differences in creative visions and stay within the budget.
There are many pathways to becoming a film director. Some film directors started as screenwriters, cinematographers, producers, film editors or actors. Other film directors have attended a film school. Directors use different approaches. Some outline a general plotline and let the actors improvise dialogue, while others control every aspect and demand that the actors and crew follow instructions precisely. Some directors also write their own screenplays or collaborate on screenplays with long-standing writing partners. Some directors edit or appear in their films or compose the music score for their films.

","Articles prone to spam from December 2014,Articles with short description,CS1 French-language sources (fr),CS1 Japanese-language sources (ja),Commons category link is on Wikidata,Directors,Entertainment occupations,Film directors,Filmmaking occupations,Mass media occupations,Short description is different from Wikidata,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NDL identifiers",Film director,Кинорежиссёр,"0.0532,0.0369,0.0229,0.0338,0.0214,0.0423,0.0229,0.0206,0.3368,0.0462,0.0268,0.0796,0.0268,0.019,0.0299,0.0198,0.0462,0.0284,0.0198,0.0664",https://images.pexels.com/photos/3379934/pexels-photo-3379934.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
374,ballooning,Ballooning (spider),https://en.wikipedia.org/wiki/Ballooning_(spider),"Ballooning, sometimes called kiting, is a process by which spiders, and some other small invertebrates, move through the air by releasing one or more gossamer threads to catch the wind, causing them to become airborne at the mercy of air currents and electric currents. A 2018 experiment confirmed that electric fields provide enough force to lift spiders in the air. This is primarily used by spiderlings to disperse; however, larger individuals have been observed doing so as well. The spider climbs to a high point and takes a stance with its abdomen to the sky, releasing fine silk threads from its spinneret until it becomes aloft. Journeys achieved vary from a few metres to hundreds of kilometres. Even atmospheric samples collected from balloons at five kilometres altitude and ships mid-ocean have reported spider landings. Mortality is high.It is observed in many species of spiders, such as Erigone atra, Cyclosa turbinata, as well as in spider mites (Tetranychidae) and in 31 species of lepidoptera, distributed in 8 suborders. Bell and his colleagues put forward the hypothesis that ballooning first appeared in the Cretaceous. A 5-year-long research study in the 1920s–1930s revealed that 1 in every 17 invertebrates caught mid-air is a spider. Out of 28,739 specimens, 1,401 turned out to be spiders.","All articles with unsourced statements,Arachnology,Articles containing video clips,Articles with long short description,Articles with short description,Articles with unsourced statements from September 2013,CS1 maint: numeric names: authors list,Ethology,Gliding animals,Short description matches Wikidata,Wikipedia articles needing clarification from September 2014,Wikipedia articles needing page number citations from November 2019",Ballooning,Полеты на воздушном шаре,"0.0308,0.0236,0.0292,0.0691,0.0236,0.0196,0.0404,0.0412,0.022,0.2346,0.0284,0.0452,0.0196,0.054,0.058,0.0588,0.0292,0.0452,0.0795,0.0484",https://images.pexels.com/photos/5736141/pexels-photo-5736141.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
375,tv watching,The Watch (TV series),https://en.wikipedia.org/wiki/The_Watch_(TV_series),"The Watch is a fantasy police procedural television programme inspired by the Ankh-Morpork City Watch from the Discworld series of fantasy novels by Terry Pratchett. The series, developed by BBC Studios for BBC America, premiered on 3 January 2021 and was released on BBC iPlayer on 1 July 2021.","2020s British crime drama television series,2020s British police procedural television series,2021 British television series debuts,All articles with dead external links,Articles with dead external links from June 2021,Articles with short description,BBC America original programming,BBC programme ID same as Wikidata,British fantasy television series,Discworld films and television series,Short description is different from Wikidata,Television series set on fictional planets,Television shows filmed in South Africa",TV watching,Телевизор,"0.041,0.0428,0.041,0.041,0.041,0.1138,0.0464,0.041,0.0537,0.041,0.041,0.0428,0.0665,0.041,0.0428,0.0428,0.041,0.041,0.0592,0.0792",https://images.pexels.com/photos/8847306/pexels-photo-8847306.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
